 precompute diagonal preconditioner
 |Mb|^2   8212.81435914890      |b|^2   15639118154.1237     
 initial ratio, |b-Ax|^2/|b|^2   37.1272386968831     
          10  2.342338200911030E-002  3.219020608276275E-006
          20  1.326921117069927E-002  1.104209342118847E-006
          30  5.106887977362234E-003  2.737342044484411E-007
          40  3.553182304938896E-003  1.316524011611429E-007
          50  3.419030499875140E-003  1.312196762072784E-007
          60  3.444897803849920E-003  1.129412719635502E-007
          70  2.617421102205584E-003  7.665541467486568E-008
          80  1.886416659060998E-003  4.806763549268391E-008
          90  2.080786123001041E-003  3.678216548936249E-008
         100  1.992793563359726E-003  3.424875895527450E-008
         110  1.946513956543031E-003  2.707181986389915E-008
         120  1.890684133515840E-003  1.760258624741922E-008
         130  9.714541318181717E-004  1.555871886428555E-008
         140  1.142604698613024E-003  1.191510571210419E-008
         150  9.933048074409702E-004  1.087842285544150E-008
         160  1.099288688872525E-003  9.805351506738424E-009
         170  7.929903500256679E-004  7.780914952237182E-009
         180  5.918511846113236E-004  6.591039341175233E-009
         190  5.798248271893561E-004  6.999588828391457E-009
         200  1.018441536010193E-003  5.968304458005371E-009
         210  6.243907615607141E-004  5.137577340639275E-009
         220  6.204480949197614E-004  5.243290985488463E-009
         230  7.707615160853228E-004  3.941222581088842E-009
         240  6.645937366711316E-004  3.785440584770493E-009
         250  4.041723468110174E-004  3.566307840796363E-009
         260  4.574739533440986E-004  2.723450590158840E-009
         270  4.582583397043104E-004  2.652885332549496E-009
         280  4.179395787868754E-004  2.945279401802564E-009
         290  4.696531057724648E-004  2.602456181685447E-009
         300  3.139502836983834E-004  2.324456931163871E-009
         310  4.287659135236963E-004  1.927020638820064E-009
         320  3.631901534317177E-004  1.616329178024006E-009
         330  4.001454406532925E-004  1.547284210690627E-009
         340  3.175197587934828E-004  1.249762928356628E-009
         350  2.903677582925011E-004  1.091360885603718E-009
         360  3.089967934736321E-004  1.022473567866467E-009
         370  3.305822898282437E-004  8.450437829593812E-010
         380  2.623801130321411E-004  7.819349696046017E-010
         390  2.860878682095070E-004  7.818358499580122E-010
         400  2.492933362612752E-004  6.390691554797205E-010
         410  2.155747126376552E-004  5.561818978607943E-010
         420  1.941273015321217E-004  5.840900149745577E-010
         430  2.318995576418995E-004  4.673048328218087E-010
         440  1.812484534072670E-004  4.070102643524995E-010
         450  1.579217030753091E-004  3.698656208288426E-010
         460  2.318984252152553E-004  3.562014714695963E-010
         470  2.556780797234245E-004  3.099114367302167E-010
         480  1.229637200280051E-004  2.929408510015453E-010
         490  2.881265751696975E-004  2.369076864897234E-010
         500  1.408540692792937E-004  2.046548083940302E-010
         510  1.109091181896478E-004  1.933968514849863E-010
         520  1.334709679912340E-004  1.599789729511317E-010
         530  1.104881851004058E-004  1.431418384209211E-010
         540  8.048630437619347E-005  1.482609554058844E-010
         550  1.563581679019158E-004  1.074900041208034E-010
         560  1.194535780843702E-004  1.017281032577640E-010
         570  1.258747977550611E-004  8.872906662379800E-011
         580  9.720118445096680E-005  7.227169653434758E-011
         590  9.243580352106204E-005  7.308716458038679E-011
         600  6.433460355790589E-005  7.130383571487776E-011
         610  9.584611589071226E-005  5.762823696036755E-011
         620  4.721182131953082E-005  4.914501347350800E-011
         630  8.287735033521926E-005  4.758257311628105E-011
         640  6.667682620490058E-005  4.183158129723712E-011
         650  6.483670734853642E-005  3.446528505945419E-011
         660  6.048355399559312E-005  3.489292915976819E-011
         670  7.027716397930667E-005  3.407299898897352E-011
         680  5.024356483644458E-005  3.407699163583199E-011
         690  5.146539370360544E-005  2.718758162366844E-011
         700  6.491236223050052E-005  2.266805719300851E-011
         710  3.588887106477187E-005  1.984525606834377E-011
         720  3.202041914063351E-005  2.197947348018457E-011
         730  3.599655498443407E-005  1.830933784170707E-011
         740  3.386714717287617E-005  1.736586287055768E-011
         750  4.325547195206603E-005  1.444237960533571E-011
         760  5.383604095244421E-005  1.261821819649389E-011
         770  2.786042219704011E-005  1.203140785570740E-011
         780  3.246303823160961E-005  1.121210246701687E-011
         790  2.969790368437308E-005  9.569904350363931E-012
         800  3.634626277977981E-005  8.671792792801605E-012
         810  3.340983644004840E-005  7.670296079560348E-012
         820  1.996654226111973E-005  7.170553500884914E-012
         830  2.356633220091151E-005  6.615592177890386E-012
         840  2.592305785334506E-005  5.731002324603770E-012
         850  2.405157426088086E-005  5.086485706240422E-012
         860  2.069216262422440E-005  5.023120732755417E-012
         870  2.447882430806597E-005  5.001018766142231E-012
         880  1.665773655858154E-005  4.802672913565002E-012
         890  1.643496139074747E-005  3.802376996817228E-012
         900  1.506771310343638E-005  3.487496689322371E-012
         910  1.380825752677813E-005  3.286263488351664E-012
         920  2.097322806223175E-005  3.134052550899058E-012
         930  1.244371690943257E-005  2.690990934590285E-012
         940  1.359847419518924E-005  2.566008758284502E-012
         950  1.184894009223669E-005  2.465613868578301E-012
         960  1.760236700470060E-005  2.023663695407443E-012
         964  9.567465283288723E-006
 real time:   2907.44811600000     
